#,Interviewer Name (Team Member),Interviewee Name,Date,User Persona,Gender (as needed),Other demographic breakdown,Interview Notes,Direct Quotes,Opportunity,Pain Points
1,SimpleGov Survey,Respondent 1,02/20/2025,Citizen,Female,"Age: 18-30, Location: NY, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 8
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Not at all
- Lobbying impact: 8
- Opinion on corporate donations: Only with strict regulations
- Industries with most influence: Healthcare & Pharmaceuticals, Finance & Banking
- Frequency of prioritizing financial incentives: Often

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), News websites (CNN, Fox, NYT, etc.)
- Tracking methods: Public disclosure websites, Transparency-focused organizations
- Desired app features: A voting record tracker for representatives, A tool to compare politicians based on transparency ratings
- Additional desired information: N/A","""There is no transparency in campaign and candidate funding.""
""Corporate donations to politicians should only be allowed with strict regulations.""","High interest in using political transparency app
Demonstrated willingness to change opinions based on financial disclosure information
Wants app features: A voting record tracker for representatives, A tool to compare politicians based on transparency ratings
Already knows their representatives - engaged citizen","Lack of transparency in campaign/political funding
Low trust in representatives to act in public interest
Believes politicians often prioritize financial incentives over public interest"
2,SimpleGov Survey,Respondent 2,02/20/2025,Citizen,Male,"Age: 18-30, Location: CA, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 7
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Too much
- Lobbying impact: 6
- Opinion on corporate donations: Only with strict regulations
- Industries with most influence: Energy (Oil & Gas), Healthcare & Pharmaceuticals, Defense & Military
- Frequency of prioritizing financial incentives: Rarely

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), News websites (CNN, Fox, NYT, etc.), TV
- Tracking methods: I don't track them, Public disclosure websites, News Reports
- Desired app features: A voting record tracker for representatives, A tool to compare politicians based on transparency ratings
- Additional desired information: amount of money they have received over time","""I have strong trust in my representatives to act in my best interest.""
""Corporate donations to politicians should only be allowed with strict regulations.""","High interest in using political transparency app
Wants app features: A voting record tracker for representatives, A tool to compare politicians based on transparency ratings
Opportunity to educate about representatives",High concern about politicians' conflicts of interest
3,SimpleGov Survey,Respondent 3,02/20/2025,Citizen,Female,"Age: 18-30, Location: NY, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 9
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: A bit
- Lobbying impact: 8
- Opinion on corporate donations: Only with strict regulations
- Industries with most influence: Energy (Oil & Gas), Healthcare & Pharmaceuticals, Finance & Banking
- Frequency of prioritizing financial incentives: Often

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), News websites (CNN, Fox, NYT, etc.), Friends and family
- Tracking methods: News Reports
- Desired app features: A voting record tracker for representatives, A tool to compare politicians based on transparency ratings
- Additional desired information: N/A","""I am extremely concerned about conflicts of interest in politicians' financial investments.""
""I have very little trust that my representatives act in my best interest.""
""Corporate donations to politicians should only be allowed with strict regulations.""","High interest in using political transparency app
Demonstrated willingness to change opinions based on financial disclosure information
Wants app features: A voting record tracker for representatives, A tool to compare politicians based on transparency ratings
Already knows their representatives - engaged citizen","High concern about politicians' conflicts of interest
Low trust in representatives to act in public interest
Believes politicians often prioritize financial incentives over public interest"
4,SimpleGov Survey,Respondent 4,02/20/2025,Citizen,Male,"Age: 18-30, Location: THA, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 8
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: A bit
- Lobbying impact: 9
- Opinion on corporate donations: Only with strict regulations
- Industries with most influence: Energy (Oil & Gas), Defense & Military, Finance & Banking
- Frequency of prioritizing financial incentives: Often

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), News websites (CNN, Fox, NYT, etc.)
- Tracking methods: I don't track them
- Desired app features: A database of representatives and their financial interests, Real-time alerts on new lobbying activities, A voting record tracker for representatives
- Additional desired information: Controversial statements","""I have strong trust in my representatives to act in my best interest.""
""Corporate donations to politicians should only be allowed with strict regulations.""","High interest in using political transparency app
Demonstrated willingness to change opinions based on financial disclosure information
Wants app features: A database of representatives and their financial interests, Real-time alerts on new lobbying activities, A voting record tracker for representatives
Opportunity to educate about representatives",Believes politicians often prioritize financial incentives over public interest
5,SimpleGov Survey,Respondent 5,02/20/2025,Citizen,Male,"Age: 18-30, Location: FRA, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 9
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Just enough
- Lobbying impact: 7
- Opinion on corporate donations: Yes
- Industries with most influence: Energy (Oil & Gas), Healthcare & Pharmaceuticals, Finance & Banking
- Frequency of prioritizing financial incentives: Sometimes

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), Political ads, Official government websites
- Tracking methods: I don't track them, Transparency-focused organizations
- Desired app features: A database of representatives and their financial interests, A tool to compare politicians based on transparency ratings
- Additional desired information: N/A","""I am extremely concerned about conflicts of interest in politicians' financial investments.""","High interest in using political transparency app
Demonstrated willingness to change opinions based on financial disclosure information
Wants app features: A database of representatives and their financial interests, A tool to compare politicians based on transparency ratings
Already knows their representatives - engaged citizen",High concern about politicians' conflicts of interest
6,SimpleGov Survey,Respondent 6,02/20/2025,Citizen,Male,"Age: 18-30, Location: NY, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 3
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Not at all
- Lobbying impact: 7
- Opinion on corporate donations: No
- Industries with most influence: Energy (Oil & Gas), Healthcare & Pharmaceuticals, Agriculture
- Frequency of prioritizing financial incentives: Often

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), News websites (CNN, Fox, NYT, etc.), Friends and family, Podcasts or radio shows
- Tracking methods: News Reports, Transparency-focused organizations
- Desired app features: A tool to compare politicians based on transparency ratings, A tracker for corporate and special interest group donations, A summary of ethics violations and conflicts of interest
- Additional desired information: N/A","""There is no transparency in campaign and candidate funding.""
""Politicians should not be allowed to receive any donations from corporations or interest groups.""","Demonstrated willingness to change opinions based on financial disclosure information
Wants app features: A tool to compare politicians based on transparency ratings, A tracker for corporate and special interest group donations, A summary of ethics violations and conflicts of interest
Already knows their representatives - engaged citizen","Lack of transparency in campaign/political funding
Believes politicians often prioritize financial incentives over public interest"
7,SimpleGov Survey,Respondent 7,02/20/2025,Citizen,Female,"Age: 18-30, Location: Switzerland , Voter: No","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 10
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Sufficient
- Lobbying impact: 6
- Opinion on corporate donations: Only with strict regulations
- Industries with most influence: Tech, Energy (Oil & Gas), Healthcare & Pharmaceuticals, Defense & Military, Finance & Banking
- Frequency of prioritizing financial incentives: Sometimes

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), Friends and family, Official government websites, TV, Podcasts or radio shows
- Tracking methods: News Reports
- Desired app features: Real-time alerts on new lobbying activities, A way to contact my representative directly, A tracker for corporate and special interest group donations
- Additional desired information: N/A","""I have strong trust in my representatives to act in my best interest.""
""Corporate donations to politicians should only be allowed with strict regulations.""","High interest in using political transparency app
Demonstrated willingness to change opinions based on financial disclosure information
Wants app features: Real-time alerts on new lobbying activities, A way to contact my representative directly, A tracker for corporate and special interest group donations
Already knows their representatives - engaged citizen",High concern about politicians' conflicts of interest
8,SimpleGov Survey,Respondent 8,02/20/2025,Citizen,Female,"Age: 18-30, Location: NY, Voter: No","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 7
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Sufficient
- Lobbying impact: 7
- Opinion on corporate donations: Only with strict regulations
- Industries with most influence: Tech, Finance & Banking
- Frequency of prioritizing financial incentives: Often

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), Friends and family, TV
- Tracking methods: News Reports
- Desired app features: A voting record tracker for representatives
- Additional desired information: N/A","""Corporate donations to politicians should only be allowed with strict regulations.""","High interest in using political transparency app
Demonstrated willingness to change opinions based on financial disclosure information
Wants app features: A voting record tracker for representatives
Already knows their representatives - engaged citizen",Believes politicians often prioritize financial incentives over public interest
9,SimpleGov Survey,Respondent 9,02/20/2025,Citizen,Male,"Age: 18-30, Location: Mex, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 1
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Somewhat
- Lobbying impact: 6
- Opinion on corporate donations: Yes
- Industries with most influence: Energy (Oil & Gas), Defense & Military, Finance & Banking
- Frequency of prioritizing financial incentives: Often

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), News websites (CNN, Fox, NYT, etc.), Friends and family
- Tracking methods: Nancy Pelosi
- Desired app features: A database of representatives and their financial interests
- Additional desired information: N/A","""I have very little trust that my representatives act in my best interest.""","Wants app features: A database of representatives and their financial interests
Opportunity to educate about representatives","Low trust in representatives to act in public interest
Believes politicians often prioritize financial incentives over public interest"
10,SimpleGov Survey,Respondent 10,02/20/2025,Citizen,Female,"Age: 18-30, Location: CA, Voter: Yes","Stakeholder Thoughts:
- Cares about representatives' activity: N/A
- Follows representatives: N/A
- Concern about financial conflicts: N/A
- Trust in representatives: N/A
- Likelihood to use tracking app: 2
- Concern about lobbying influence: N/A

Suggested Problem:
- Transparency concern: Not at all
- Lobbying impact: 8
- Opinion on corporate donations: No
- Industries with most influence: Tech, Energy (Oil & Gas), Healthcare & Pharmaceuticals
- Frequency of prioritizing financial incentives: Always

Suggested solution (optional):
- Information sources: Social media (Twitter, Facebook, etc.), News websites (CNN, Fox, NYT, etc.), Friends and family, Political ads, TV, Podcasts or radio shows
- Tracking methods: I don't track them
- Desired app features: A database of representatives and their financial interests, Real-time alerts on new lobbying activities, A tracker for corporate and special interest group donations
- Additional desired information: Would definitely like to see their personal investments in real time. Also lists of all their donors ranked from most least invested ","""There is no transparency in campaign and candidate funding.""
""I have very little trust that my representatives act in my best interest.""
""Politicians should not be allowed to receive any donations from corporations or interest groups.""","Wants app features: A database of representatives and their financial interests, Real-time alerts on new lobbying activities, A tracker for corporate and special interest group donations
Already knows their representatives - engaged citizen","Lack of transparency in campaign/political funding
High concern about politicians' conflicts of interest
Low trust in representatives to act in public interest
Believes politicians often prioritize financial incentives over public interest"
